,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp534-over,ssp585
1750.5,729.1999999996335,729.1999999996335,729.1999999996335,729.1999999996335,729.1999999996335,729.1999999996335,729.1999999996335,729.1999999996335
1751.5,729.1824880385748,729.1824880385748,729.1824880385748,729.1824880385748,729.1824880385748,729.1824880385748,729.1824880385748,729.1824880385748
1752.5,729.1448900395853,729.1448900395853,729.1448900395853,729.1448900395853,729.1448900395853,729.1448900395853,729.1448900395853,729.1448900395853
1753.5,729.1453898033458,729.1453898033458,729.1453898033458,729.1453898033458,729.1453898033458,729.1453898033458,729.1453898033458,729.1453898033458
1754.5,729.2494541278977,729.2494541278977,729.2494541278977,729.2494541278977,729.2494541278977,729.2494541278977,729.2494541278977,729.2494541278977
1755.5,729.4070211613148,729.4070211613148,729.4070211613148,729.4070211613148,729.4070211613148,729.4070211613148,729.4070211613148,729.4070211613148
1756.5,729.541806955234,729.541806955234,729.541806955234,729.541806955234,729.541806955234,729.541806955234,729.541806955234,729.541806955234
1757.5,729.7513018555308,729.7513018555308,729.7513018555308,729.7513018555308,729.7513018555308,729.7513018555308,729.7513018555308,729.7513018555308
1758.5,730.0196979259133,730.0196979259133,730.0196979259133,730.0196979259133,730.0196979259133,730.0196979259133,730.0196979259133,730.0196979259133
1759.5,730.2822249996095,730.2822249996095,730.2822249996095,730.2822249996095,730.2822249996095,730.2822249996095,730.2822249996095,730.2822249996095
1760.5,730.6005489173215,730.6005489173215,730.6005489173215,730.6005489173215,730.6005489173215,730.6005489173215,730.6005489173215,730.6005489173215
1761.5,730.9410734571591,730.9410734571591,730.9410734571591,730.9410734571591,730.9410734571591,730.9410734571591,730.9410734571591,730.9410734571591
1762.5,731.2548482931898,731.2548482931898,731.2548482931898,731.2548482931898,731.2548482931898,731.2548482931898,731.2548482931898,731.2548482931898
1763.5,731.5542795632566,731.5542795632566,731.5542795632566,731.5542795632566,731.5542795632566,731.5542795632566,731.5542795632566,731.5542795632566
1764.5,731.7938698556698,731.7938698556698,731.7938698556698,731.7938698556698,731.7938698556698,731.7938698556698,731.7938698556698,731.7938698556698
1765.5,732.0734249467292,732.0734249467292,732.0734249467292,732.0734249467292,732.0734249467292,732.0734249467292,732.0734249467292,732.0734249467292
1766.5,732.4253937303954,732.4253937303954,732.4253937303954,732.4253937303954,732.4253937303954,732.4253937303954,732.4253937303954,732.4253937303954
1767.5,732.7567444665583,732.7567444665583,732.7567444665583,732.7567444665583,732.7567444665583,732.7567444665583,732.7567444665583,732.7567444665583
1768.5,733.192072094681,733.192072094681,733.192072094681,733.192072094681,733.192072094681,733.192072094681,733.192072094681,733.192072094681
1769.5,733.669962289483,733.669962289483,733.669962289483,733.669962289483,733.669962289483,733.669962289483,733.669962289483,733.669962289483
1770.5,734.0978922571928,734.0978922571928,734.0978922571928,734.0978922571928,734.0978922571928,734.0978922571928,734.0978922571928,734.0978922571928
1771.5,734.4727742712128,734.4727742712128,734.4727742712128,734.4727742712128,734.4727742712128,734.4727742712128,734.4727742712128,734.4727742712128
1772.5,734.7706481816107,734.7706481816107,734.7706481816107,734.7706481816107,734.7706481816107,734.7706481816107,734.7706481816107,734.7706481816107
1773.5,735.0674609029652,735.0674609029652,735.0674609029652,735.0674609029652,735.0674609029652,735.0674609029652,735.0674609029652,735.0674609029652
1774.5,735.4814095209322,735.4814095209322,735.4814095209322,735.4814095209322,735.4814095209322,735.4814095209322,735.4814095209322,735.4814095209322
1775.5,735.9575754242862,735.9575754242862,735.9575754242862,735.9575754242862,735.9575754242862,735.9575754242862,735.9575754242862,735.9575754242862
1776.5,736.3683473521071,736.3683473521071,736.3683473521071,736.3683473521071,736.3683473521071,736.3683473521071,736.3683473521071,736.3683473521071
1777.5,736.8018094320469,736.8018094320469,736.8018094320469,736.8018094320469,736.8018094320469,736.8018094320469,736.8018094320469,736.8018094320469
1778.5,737.3139249290903,737.3139249290903,737.3139249290903,737.3139249290903,737.3139249290903,737.3139249290903,737.3139249290903,737.3139249290903
1779.5,737.8194772119891,737.8194772119891,737.8194772119891,737.8194772119891,737.8194772119891,737.8194772119891,737.8194772119891,737.8194772119891
1780.5,738.3427810048231,738.3427810048231,738.3427810048231,738.3427810048231,738.3427810048231,738.3427810048231,738.3427810048231,738.3427810048231
1781.5,738.8878138475518,738.8878138475518,738.8878138475518,738.8878138475518,738.8878138475518,738.8878138475518,738.8878138475518,738.8878138475518
1782.5,739.39629317191,739.39629317191,739.39629317191,739.39629317191,739.39629317191,739.39629317191,739.39629317191,739.39629317191
1783.5,739.8778743243791,739.8778743243791,739.8778743243791,739.8778743243791,739.8778743243791,739.8778743243791,739.8778743243791,739.8778743243791
1784.5,740.3111445819341,740.3111445819341,740.3111445819341,740.3111445819341,740.3111445819341,740.3111445819341,740.3111445819341,740.3111445819341
1785.5,740.7831296933828,740.7831296933828,740.7831296933828,740.7831296933828,740.7831296933828,740.7831296933828,740.7831296933828,740.7831296933828
1786.5,741.3018399496855,741.3018399496855,741.3018399496855,741.3018399496855,741.3018399496855,741.3018399496855,741.3018399496855,741.3018399496855
1787.5,741.8303069141252,741.8303069141252,741.8303069141252,741.8303069141252,741.8303069141252,741.8303069141252,741.8303069141252,741.8303069141252
